Inventory ID,Product ID,Item CutSheet ID,Made By Company ID,Bought By Customer ID
8083392705816,8541335302480,46657657,64484815,6601612414229
2290406561924,6480817416227,43614349,74510849,8971882507494
2015773462953,5983293660319,54936416,99758561,9138416185927
6880775868630,6166008497533,29693771,11682431,9565148125509
0384659574434,3550716201842,54847729,48893893,6300042495029
6022363547064,8612056496588,79141529,06233846,6573515594325
7577308995251,5209883114797,74631469,28020196,1968383155238
4019906909009,6542578742110,26282657,79072663,4554291273903
1658080487946,5006149707218,83217388,92045026,9845166900785
8616559488316,2302989168664,16337428,98464388,0358512699954
2221324450342,7806412171504,93511926,89689134,0103994665207
8397794013258,2093025281026,29088720,53368263,0966014834225
7311971811384,4905096076044,35781554,91623911,8643375032072
7876588339183,9450815175416,32407501,03299746,1781997153403
8808713069671,9971869018325,81700219,28437451,7911479470283
1439986050096,3173598681344,82926441,46154408,0752836430970
9421876518665,1260779484053,18639278,74171804,2154789645810
1989679579835,4415455239794,51082314,97633440,4868902272125
6502785420461,4674821594282,54827776,28250548,3565760077985
3080325680535,3734670283391,54748811,47776432,3540778988492
3286121148457,2220879568823,08596871,10689806,8540940355652
5640676798709,2493004899608,27858141,46559784,7779805173495
0688204703523,4019654220289,01456202,79854245,5056726035135
6437980352272,7651004536434,30780064,95846286,5856930346443
2188247287649,5233584120115,08420459,81142248,1748290796423
3175147919090,7247936173542,61086623,49708295,6052640922031
9603191850051,9382902005361,64309781,63780307,3129791080675
4505021363470,8866978056676,77876355,63320305,6329890098756
8067585886346,3444693966156,19669922,13925178,7030519441233
8104914982116,7294003689000,71906331,97638636,5977248745121
0662639288787,0697714806501,33290324,13528324,8351027671455
1851770202458,0076006055344,37627843,34448731,6690246120514
4481645377669,4734031679961,73521303,58508091,7004482658066
2362716346987,8153655498530,23593046,67341573,0220658899027
4535050024257,7502839236535,16133976,21593970,5624640123780
2368302442569,1964491820235,78282520,41525319,0774989715711
8363869406287,1997611068293,36413331,46824134,4098634363772
0890378526352,7707973803913,46178190,23355309,4802041713507
7574444426977,8447091249154,13847388,72464557,0795708690348
2220983073817,8384199521709,62150064,42202707,3746009208753
6059512382207,4568979832290,44254018,22487032,9782457840163
9463261651458,3158927987083,14273315,80064800,6765014352975
5204198914322,0731439477452,67434596,35723738,5212597930508
9921405093033,7185860041684,31989176,97530459,8740135163219
7052498713408,7816912089179,68404383,24217903,4338608208693
6485755458995,6178749596994,17808354,74368990,6210959006341
4223273039591,0084870684805,18440904,94615906,4828990508438
3987648892242,4503107100148,43402885,61122925,9195592854986
2319695573231,1783442855276,58024485,91385734,8042811150798
7040448498413,7398038767129,80595120,75373047,1358906057970
6528196426991,3905356337329,18793109,75069674,8729714850528
1229011118965,7308745954422,71088631,48202084,7957584668474
0231629965511,1450678293508,66181620,67562442,1747156199057
4211109527091,4429040113161,90768385,94089363,3147416598800
2536959377033,4408755151019,50535859,10445365,9903380210421
8563702892325,5864574605208,12695195,52708589,3916434627973
7612239129389,1961937780924,28896418,65687192,7448993852788
1767823612252,0951724226903,28224976,55664929,0892249302232
0654245156260,6565701267274,45845604,95449302,7038470338722
4386475089297,8063198745339,19147666,19724263,3366522579538
4107616305461,2357127015232,66010180,72508565,6210623553614
