ConsultationID,Date-Time
6446942620441,2014-01-13 09:35:43
0354396436234,1970-01-23 14:10:50
5205198192796,1995-04-26 12:41:37
2586858630234,2019-07-02 08:50:24
2197309641985,1972-09-02 11:52:34
2325736291613,2021-07-08 09:26:12
9678070518964,1978-06-13 17:54:06
9116264790791,1988-04-25 02:16:54
1781376843055,2014-10-22 00:35:54
8224057531818,1984-03-10 15:42:48
7949766580292,2016-03-31 11:25:00
1657224717543,1992-11-28 08:49:41
5901868212978,1982-03-07 08:17:43
8368452774101,1981-02-08 04:19:54
0661446057296,1984-12-03 11:13:33
8592677962894,1970-02-17 14:18:41
1833871892196,1983-11-11 06:27:41
6598285546244,1979-07-06 22:02:02
3754409250968,2005-10-04 06:42:36
6526864015850,1998-12-29 16:20:10
4856030202718,1997-07-12 07:42:52
7488193146027,1997-11-29 17:17:04
2953717683852,2005-02-09 02:42:40
0480545794587,2014-04-11 13:07:34
5929949063462,1993-05-01 17:32:02
3782856139895,2020-01-04 23:47:13
7534935424950,2007-03-29 21:53:20
9181394290893,1986-09-17 16:51:43
6044536439235,1979-01-26 20:05:35
4261441582777,1977-02-10 13:45:51
7375872687080,1984-05-03 04:33:38
4481950834826,1998-06-30 00:42:11
0892382099426,2022-10-17 05:50:57
6618822077717,2008-01-06 18:05:08
6335536048641,2015-07-30 03:01:49
2492328422042,1972-01-24 07:11:56
2818373770158,2012-09-08 02:55:35
9321486898099,2017-05-04 22:36:18
5710723172308,1992-05-18 06:12:51
1102386907757,2004-11-26 07:23:23
9308988134108,1970-06-25 16:52:03
7838397295975,1991-02-28 11:40:44
4801504976459,2008-07-29 07:42:36
3972161953129,1983-07-02 03:58:37
0393618446460,1989-03-11 01:49:50
6185033882718,2018-12-20 08:53:22
3662041568078,2008-12-11 17:14:34
5388973093850,2002-02-10 19:49:16
0182802518577,1982-09-22 02:49:18
0441271786413,2021-06-19 16:31:16
5688936411241,2017-05-19 21:47:56
1325554216035,1997-04-10 12:01:49
0790636703238,2000-07-19 22:19:10
9939202213332,1997-06-20 18:25:54
4184386279178,1970-08-27 10:05:54
2902457805178,1994-10-07 18:47:54
8210362438478,1971-02-04 04:50:43
1779556965659,1985-03-23 22:52:21
3061993455472,1990-08-26 02:55:05
1426778051997,2015-06-06 05:08:34
5842635665859,1975-10-27 01:07:08
5011115397232,2000-08-20 00:08:42
5655984848831,2005-05-11 01:23:03
2753013433607,1999-09-06 15:41:12
7533973881183,2017-11-26 06:26:59
4440277014106,1990-10-26 15:55:25
7694314726478,1972-08-02 14:08:28
4137459377684,1976-04-01 17:48:37
3047597720086,2009-01-01 11:14:07
5622233095766,2006-03-05 18:51:07
4365932657125,1997-08-24 07:26:27
8758559795466,2014-01-23 14:07:26
1937357236976,1983-06-12 05:06:19
3983410943815,1993-06-12 11:01:25
3129515949653,2019-05-03 17:09:29
5866467361253,1984-03-01 00:41:23
5917909071350,2018-04-28 19:30:54
3748327426406,1996-04-08 19:15:36
2811609276196,1983-02-06 13:16:14
4483916512953,2018-05-18 21:31:19
0876339090292,2010-12-04 09:28:09
3603526481536,1977-06-26 03:34:58
3023981254856,2003-05-19 00:40:01
4354062727792,2015-12-20 02:49:58
9097368847973,1999-03-30 06:47:49
1337930751221,1986-06-04 02:50:27
4018634333360,2021-02-11 19:33:52
5888298767509,2013-01-21 09:13:38
5294019234593,1984-10-14 09:08:17
8650367316843,1971-01-13 06:57:31
0727682487294,1975-01-22 04:26:23
2116796733089,1999-06-30 21:48:59
2809577713836,1974-03-03 16:36:28
1880317182878,2001-07-28 15:52:45
4129665600311,2012-08-18 13:26:40
8587990793478,1986-06-19 14:19:15
